Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),AT (°C),RH (%),WS (m/s),TOT-RF (mm),SR (W/mt2),hour,day,month,month_name,day_of_week,is_weekend,season,time_of_day,station,SI_PM2.5,SI_PM10,SI_SO2,SI_CO,SI_Ozone,AQI,AQI_Category
2025-01-01 00:00:00,16.5,21.75,3.57,12.58,0.16,13.96,0.64,15.8,80.75,0.75,,18.0,0,1,1,Jan,Wednesday,False,Winter,Night,ardhali_bazar,27.5,21.75,15.72,8.0,13.96,27.5,Good
2025-01-01 01:00:00,16.67,22.33,3.51,11.86,0.26,12.64,0.64,12.92,82.5,1.0,,18.0,1,1,1,Jan,Wednesday,False,Winter,Night,ardhali_bazar,27.78,22.33,14.82,13.0,12.64,27.78,Good
2025-01-01 02:00:00,13.33,18.0,3.84,13.76,0.24,12.69,0.8,12.77,80.33,0.73,,18.0,2,1,1,Jan,Wednesday,False,Winter,Night,ardhali_bazar,22.22,18.0,17.2,12.0,12.69,22.22,Good
2025-01-01 03:00:00,11.67,15.33,5.6,15.85,0.1,12.89,0.96,12.48,80.25,0.88,,18.0,3,1,1,Jan,Wednesday,False,Winter,Night,ardhali_bazar,19.45,15.33,19.81,5.0,12.89,19.81,Good
2025-01-01 04:00:00,10.67,14.0,4.61,14.67,0.11,12.74,0.96,12.3,80.5,0.85,,51.25,4,1,1,Jan,Wednesday,False,Winter,Night,ardhali_bazar,17.78,14.0,18.34,5.5,12.74,18.34,Good
2025-01-01 05:00:00,9.67,13.33,6.58,15.52,0.05,12.64,0.88,12.12,79.25,0.95,,18.0,5,1,1,Jan,Wednesday,False,Winter,Morning,ardhali_bazar,16.12,13.33,19.4,2.5,12.64,19.4,Good
2025-01-01 06:00:00,9.0,12.0,4.98,14.67,0.03,12.59,0.85,11.92,79.0,0.75,,52.5,6,1,1,Jan,Wednesday,False,Winter,Morning,ardhali_bazar,15.0,12.0,18.34,1.5,12.59,18.34,Good
2025-01-01 07:00:00,9.67,13.0,4.46,13.3,0.12,12.45,0.64,11.82,78.25,0.82,,20.25,7,1,1,Jan,Wednesday,False,Winter,Morning,ardhali_bazar,16.12,13.0,16.62,6.0,12.45,16.62,Good
2025-01-01 08:00:00,13.0,17.33,4.95,13.19,0.12,13.72,0.64,11.93,77.75,0.75,,36.75,8,1,1,Jan,Wednesday,False,Winter,Morning,ardhali_bazar,21.67,17.33,16.49,6.0,13.72,21.67,Good
2025-01-01 09:00:00,17.33,22.33,3.78,12.9,0.19,12.84,0.64,12.27,76.25,0.7,,60.25,9,1,1,Jan,Wednesday,False,Winter,Morning,ardhali_bazar,28.88,22.33,16.12,9.5,12.84,28.88,Good
2025-01-01 10:00:00,18.33,23.67,6.09,11.0,0.22,13.57,0.64,13.03,74.25,0.68,,122.25,10,1,1,Jan,Wednesday,False,Winter,Morning,ardhali_bazar,30.55,23.67,13.75,11.0,13.57,30.55,Good
2025-01-01 11:00:00,19.0,25.0,7.69,11.07,0.11,13.52,0.64,13.82,71.0,1.3,,281.0,11,1,1,Jan,Wednesday,False,Winter,Morning,ardhali_bazar,31.67,25.0,13.84,5.5,13.52,31.67,Good
2025-01-01 12:00:00,14.67,18.67,7.01,12.66,0.11,14.41,0.64,14.72,68.5,1.05,,340.5,12,1,1,Jan,Wednesday,False,Winter,Afternoon,ardhali_bazar,24.45,18.67,15.82,5.5,14.41,24.45,Good
2025-01-01 13:00:00,14.67,19.0,6.21,12.84,0.01,13.57,0.75,15.05,67.75,1.2,,165.5,13,1,1,Jan,Wednesday,False,Winter,Afternoon,ardhali_bazar,24.45,19.0,16.05,0.5,13.57,24.45,Good
2025-01-01 14:00:00,16.67,21.67,5.41,13.54,0.03,14.46,0.75,15.2,67.25,1.2,,101.25,14,1,1,Jan,Wednesday,False,Winter,Afternoon,ardhali_bazar,27.78,21.67,16.92,1.5,14.46,27.78,Good
2025-01-01 15:00:00,18.33,23.67,4.46,13.3,0.16,13.72,0.64,14.85,68.25,1.1,,64.5,15,1,1,Jan,Wednesday,False,Winter,Afternoon,ardhali_bazar,30.55,23.67,16.62,8.0,13.72,30.55,Good
2025-01-01 16:00:00,19.67,25.67,4.4,14.32,0.16,14.7,0.85,14.25,70.0,0.77,,32.0,16,1,1,Jan,Wednesday,False,Winter,Afternoon,ardhali_bazar,32.78,25.67,17.9,8.0,14.7,32.78,Good
2025-01-01 17:00:00,21.67,28.0,4.27,14.28,0.18,14.31,0.88,13.52,72.33,0.57,,18.0,17,1,1,Jan,Wednesday,False,Winter,Evening,ardhali_bazar,36.12,28.0,17.85,9.0,14.31,36.12,Good
2025-01-01 18:00:00,25.33,33.0,3.51,13.27,0.26,15.29,0.75,15.85,74.5,0.52,,18.0,18,1,1,Jan,Wednesday,False,Winter,Evening,ardhali_bazar,42.22,33.0,16.59,13.0,15.29,42.22,Good
2025-01-01 19:00:00,32.33,42.33,4.4,14.08,0.24,16.86,0.72,12.55,77.0,0.52,,18.0,19,1,1,Jan,Wednesday,False,Winter,Evening,ardhali_bazar,54.81,42.33,17.6,12.0,16.86,54.81,Satisfactory
2025-01-01 20:00:00,36.33,47.67,4.09,13.62,0.27,17.79,0.75,12.02,78.75,0.52,,379.25,20,1,1,Jan,Wednesday,False,Winter,Evening,ardhali_bazar,61.34,47.67,17.02,13.5,17.79,61.34,Satisfactory
2025-01-01 21:00:00,34.0,44.0,3.47,12.38,0.23,16.56,0.64,11.67,79.25,0.38,,18.0,21,1,1,Jan,Wednesday,False,Winter,Night,ardhali_bazar,57.53,44.0,15.48,11.5,16.56,57.53,Satisfactory
2025-01-01 22:00:00,32.0,41.67,3.6,12.49,0.17,17.4,0.64,11.27,80.75,1.45,,18.0,22,1,1,Jan,Wednesday,False,Winter,Night,ardhali_bazar,54.27,41.67,15.61,8.5,17.4,54.27,Satisfactory
2025-01-01 23:00:00,32.33,41.67,3.87,12.05,0.26,17.64,0.64,10.62,86.0,0.3,,18.0,23,1,1,Jan,Wednesday,False,Winter,Night,ardhali_bazar,54.81,41.67,15.06,13.0,17.64,54.81,Satisfactory
2025-01-02 00:00:00,32.0,41.75,3.32,12.49,0.27,17.79,0.64,13.05,84.67,0.3,,357.5,0,2,1,Jan,Thursday,False,Winter,Night,ardhali_bazar,54.27,41.75,15.61,13.5,17.79,54.27,Satisfactory
2025-01-02 01:00:00,29.0,38.0,3.57,11.07,0.29,16.56,0.64,12.95,86.0,0.3,,51.25,1,2,1,Jan,Thursday,False,Winter,Night,ardhali_bazar,48.33,38.0,13.84,14.5,16.56,48.33,Good
2025-01-02 02:00:00,28.0,36.67,3.41,13.19,0.35,15.14,0.85,9.9,86.75,0.3,,18.0,2,2,1,Jan,Thursday,False,Winter,Night,ardhali_bazar,46.67,36.67,16.49,17.5,15.14,46.67,Good
2025-01-02 03:00:00,25.67,33.67,3.32,16.77,0.24,15.04,0.96,9.68,87.67,0.3,,18.0,3,2,1,Jan,Thursday,False,Winter,Night,ardhali_bazar,42.78,33.67,20.96,12.0,15.04,42.78,Good
2025-01-02 04:00:00,24.67,32.67,3.23,14.76,0.22,14.8,0.96,9.58,89.0,0.32,,18.0,4,2,1,Jan,Thursday,False,Winter,Night,ardhali_bazar,41.12,32.67,18.45,11.0,14.8,41.12,Good
