Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,16.50,21.75,3.57,21.85,8.52,NA,12.58,0.16,13.96,0.64,1.13,0.87,NA,NA,NA,15.80,80.75,0.75,200.50,NA,NA,18.00,736.00,-0.24
2025-01-01 01:00:00,16.67,22.33,3.51,21.24,8.35,NA,11.86,0.26,12.64,0.64,1.13,0.76,NA,NA,NA,12.92,82.50,1.00,201.75,NA,NA,18.00,737.00,-0.23
2025-01-01 02:00:00,13.33,18.00,3.84,20.21,8.25,NA,13.76,0.24,12.69,0.80,1.13,0.87,NA,NA,NA,12.77,80.33,0.73,198.75,NA,NA,18.00,737.00,-0.23
2025-01-01 03:00:00,11.67,15.33,5.60,20.40,9.43,NA,15.85,0.10,12.89,0.96,1.51,1.08,NA,NA,NA,12.48,80.25,0.88,197.75,NA,NA,18.00,737.75,-0.23
2025-01-01 04:00:00,10.67,14.00,4.61,19.50,8.52,NA,14.67,0.11,12.74,0.96,1.38,0.87,NA,NA,NA,12.30,80.50,0.85,201.00,NA,NA,51.25,785.50,-0.23
2025-01-01 05:00:00,9.67,13.33,6.58,20.87,10.25,NA,15.52,0.05,12.64,0.88,1.51,0.98,NA,NA,NA,12.12,79.25,0.95,196.50,NA,NA,18.00,737.50,-0.36
2025-01-01 06:00:00,9.00,12.00,4.98,20.30,9.02,NA,14.67,0.03,12.59,0.85,1.26,1.01,NA,NA,NA,11.92,79.00,0.75,199.75,NA,NA,52.50,736.75,-0.23
2025-01-01 07:00:00,9.67,13.00,4.46,20.96,8.88,NA,13.30,0.12,12.45,0.64,1.13,0.87,NA,NA,NA,11.82,78.25,0.82,199.50,NA,NA,20.25,736.00,-0.23
2025-01-01 08:00:00,13.00,17.33,4.95,20.92,9.18,NA,13.19,0.12,13.72,0.64,1.13,0.87,NA,NA,NA,11.93,77.75,0.75,191.25,NA,NA,36.75,779.25,-0.23
2025-01-01 09:00:00,17.33,22.33,3.78,22.37,8.80,NA,12.90,0.19,12.84,0.64,1.13,0.87,NA,NA,NA,12.27,76.25,0.70,196.75,NA,NA,60.25,738.50,-0.23
2025-01-01 10:00:00,18.33,23.67,6.09,22.37,10.35,NA,11.00,0.22,13.57,0.64,1.13,0.87,NA,NA,NA,13.03,74.25,0.68,200.25,NA,NA,122.25,734.25,-0.24
2025-01-01 11:00:00,19.00,25.00,7.69,21.81,11.25,NA,11.07,0.11,13.52,0.64,1.13,0.76,NA,NA,NA,13.82,71.00,1.30,207.25,NA,NA,281.00,734.75,-0.24
2025-01-01 12:00:00,14.67,18.67,7.01,23.08,11.18,NA,12.66,0.11,14.41,0.64,1.13,0.87,NA,NA,NA,14.72,68.50,1.05,220.25,NA,NA,340.50,734.50,-0.25
2025-01-01 13:00:00,14.67,19.00,NA,NA,NA,NA,NA,0.01,13.57,0.75,1.26,0.87,NA,NA,NA,15.05,67.75,1.20,202.00,NA,NA,165.50,736.00,-0.25
2025-01-01 14:00:00,16.67,21.67,5.41,24.77,10.60,NA,13.54,0.03,14.46,0.75,1.26,0.87,NA,NA,NA,15.20,67.25,1.20,199.75,NA,NA,101.25,737.00,-0.25
2025-01-01 15:00:00,18.33,23.67,4.46,25.52,10.18,NA,13.30,0.16,13.72,0.64,1.13,0.87,NA,NA,NA,14.85,68.25,1.10,199.25,NA,NA,64.50,826.25,-0.25
2025-01-01 16:00:00,19.67,25.67,4.40,24.82,9.93,NA,14.32,0.16,14.70,0.85,1.38,0.87,NA,NA,NA,14.25,70.00,0.77,199.75,NA,NA,32.00,824.00,-0.24
2025-01-01 17:00:00,21.67,28.00,4.27,25.10,9.93,NA,14.28,0.18,14.31,0.88,1.41,0.87,NA,NA,NA,13.52,72.33,0.57,197.00,NA,NA,18.00,781.50,-0.24
2025-01-01 18:00:00,25.33,33.00,3.51,24.35,9.18,NA,13.27,0.26,15.29,0.75,1.26,0.87,NA,NA,NA,15.85,74.50,0.52,193.50,NA,NA,18.00,738.00,-0.24
2025-01-01 19:00:00,32.33,42.33,4.40,24.25,9.80,NA,14.08,0.24,16.86,0.72,1.23,0.87,NA,NA,NA,12.55,77.00,0.52,195.50,NA,NA,18.00,780.50,-0.23
