Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,7.72,NA,2.68,6.19,9.78,4.06,28.71,0.00,1.02,0.00,NA,NA,NA,NA,NA,13.52,82.94,0.64,249.46,0.00,0.00,0.00,NA,NA
2025-01-01 01:00:00,7.67,NA,2.71,6.22,9.86,4.02,28.71,0.00,0.96,0.00,NA,NA,NA,NA,NA,13.49,82.89,0.69,252.54,0.00,0.00,0.00,NA,NA
2025-01-01 02:00:00,NA,NA,2.59,6.35,9.77,3.93,28.80,0.00,1.06,0.00,NA,NA,NA,NA,NA,13.37,82.50,0.56,235.31,0.00,0.00,0.00,NA,NA
2025-01-01 03:00:00,6.51,NA,2.76,6.04,9.74,4.06,28.92,0.00,1.07,0.00,NA,NA,NA,NA,NA,13.23,82.89,0.74,246.35,0.00,0.00,0.00,NA,NA
2025-01-01 04:00:00,6.33,NA,2.66,6.26,9.81,4.07,28.84,0.00,1.20,0.00,NA,NA,NA,NA,NA,13.02,82.00,0.74,224.75,0.00,0.00,0.00,NA,NA
2025-01-01 05:00:00,5.62,NA,2.61,6.42,9.86,4.00,28.90,0.00,1.14,0.00,NA,NA,NA,NA,NA,12.86,81.50,0.71,247.86,0.00,0.00,0.00,NA,NA
2025-01-01 06:00:00,6.11,NA,2.51,6.44,9.78,4.12,28.82,0.00,1.20,0.00,NA,NA,NA,NA,NA,12.46,80.53,0.75,252.24,0.00,0.00,0.00,NA,NA
2025-01-01 07:00:00,5.38,NA,2.58,6.24,9.68,4.08,28.84,0.00,1.39,0.00,NA,NA,NA,NA,NA,12.41,79.16,0.86,251.37,0.00,0.00,0.00,NA,NA
2025-01-01 08:00:00,7.90,NA,2.66,6.34,9.94,3.94,28.73,0.00,1.25,0.00,NA,NA,NA,NA,NA,12.68,78.49,0.64,237.37,0.00,0.00,0.00,NA,NA
2025-01-01 09:00:00,7.57,NA,2.72,6.30,9.94,4.11,28.83,0.00,1.26,0.00,NA,NA,NA,NA,NA,13.00,77.06,0.85,208.60,0.00,0.00,0.00,NA,NA
2025-01-01 10:00:00,8.95,NA,2.53,6.32,9.69,4.04,28.84,0.00,1.36,0.00,NA,NA,NA,NA,NA,13.98,72.88,0.74,247.94,0.00,0.00,0.00,NA,NA
2025-01-01 11:00:00,8.73,NA,2.54,6.36,9.82,4.01,28.51,0.00,1.45,0.00,NA,NA,NA,NA,NA,16.59,64.58,0.78,235.92,0.00,0.00,0.00,NA,NA
2025-01-01 12:00:00,8.38,NA,2.65,6.32,9.88,4.12,28.51,0.00,1.86,0.00,NA,NA,NA,NA,NA,18.14,59.95,0.96,220.57,0.00,0.00,0.00,NA,NA
2025-01-01 13:00:00,8.18,NA,2.55,6.33,9.72,4.07,28.43,0.00,2.28,0.00,NA,NA,NA,NA,NA,19.04,58.56,1.00,237.32,0.00,0.00,0.00,NA,NA
2025-01-01 14:00:00,8.89,NA,2.61,6.37,9.88,4.01,28.48,0.00,3.00,0.00,NA,NA,NA,NA,NA,18.93,58.80,0.85,262.09,0.00,0.00,0.00,NA,NA
2025-01-01 15:00:00,9.93,NA,2.61,6.49,10.00,4.00,28.46,0.00,3.26,0.00,NA,NA,NA,NA,NA,18.01,61.80,0.76,227.00,0.00,0.00,0.00,NA,NA
