Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,8.51,22.48,6.62,1.89,11.42,14.28,23.80,0.34,NA,0.00,NA,NA,NA,0.04,0.20,13.49,85.34,0.22,121.93,0.00,0.00,0.00,750.00,NA
2025-01-01 01:00:00,8.57,21.53,6.68,1.71,11.37,14.17,23.61,0.32,NA,0.00,NA,NA,NA,0.03,0.20,13.37,84.92,0.31,126.39,0.00,0.00,0.00,750.00,NA
2025-01-01 02:00:00,7.58,19.85,6.66,1.88,11.50,14.16,23.50,0.31,NA,0.00,NA,NA,NA,0.03,0.19,13.30,84.94,0.34,124.19,0.00,0.00,0.00,750.00,NA
2025-01-01 03:00:00,7.87,18.24,6.62,1.74,11.27,14.08,23.37,0.30,NA,0.00,NA,NA,NA,0.03,0.18,13.18,84.36,0.24,109.58,0.00,0.00,0.00,750.00,NA
2025-01-01 04:00:00,5.74,14.84,6.72,1.75,11.44,14.16,23.35,0.30,NA,0.00,NA,NA,NA,0.03,0.18,13.01,84.49,0.20,114.21,0.00,0.00,0.00,750.00,NA
2025-01-01 05:00:00,5.86,15.35,6.67,1.88,11.51,13.98,23.38,0.30,NA,0.00,NA,NA,NA,0.03,0.18,12.91,84.56,0.19,102.14,0.00,0.00,0.00,750.00,NA
2025-01-01 06:00:00,6.18,16.10,6.64,1.89,11.47,13.76,23.56,0.30,NA,0.00,NA,NA,NA,0.03,0.18,12.51,83.79,0.26,102.85,0.00,0.00,0.00,750.00,NA
2025-01-01 07:00:00,5.94,15.48,6.68,1.73,11.37,13.80,23.51,0.29,NA,0.00,NA,NA,NA,0.03,0.17,12.51,82.26,0.30,115.88,0.00,0.00,1.34,750.00,NA
2025-01-01 08:00:00,5.57,14.70,6.66,1.80,11.40,13.61,23.53,0.29,NA,0.00,NA,NA,NA,0.03,0.17,12.96,79.62,0.41,138.82,0.00,0.00,10.35,750.00,NA
2025-01-01 09:00:00,6.96,16.93,6.68,1.92,11.58,13.67,23.82,0.29,NA,0.00,NA,NA,NA,0.03,0.17,13.56,76.90,0.41,158.75,0.00,0.00,26.68,750.00,NA
2025-01-01 10:00:00,8.65,21.29,6.68,1.62,11.24,11.52,25.01,0.32,NA,0.00,NA,NA,NA,0.03,0.19,15.16,71.48,0.42,156.80,0.00,0.00,63.09,750.00,NA
2025-01-01 11:00:00,8.70,21.52,6.60,1.68,11.18,8.71,26.10,0.32,NA,0.00,NA,NA,NA,0.03,0.20,17.70,64.02,0.40,137.11,0.00,0.00,117.77,750.00,NA
2025-01-01 12:00:00,8.77,22.40,6.58,1.80,11.28,8.44,26.94,0.33,NA,0.00,NA,NA,NA,0.03,0.20,19.42,59.75,0.42,122.42,0.00,0.00,156.28,750.00,NA
2025-01-01 13:00:00,8.43,20.44,6.57,1.65,11.12,9.12,27.57,0.34,NA,0.00,NA,NA,NA,0.04,0.20,19.84,58.39,0.51,151.40,0.00,0.00,85.54,750.00,NA
2025-01-01 14:00:00,8.73,21.78,6.58,1.75,11.24,9.51,28.36,0.35,NA,0.00,NA,NA,NA,0.04,0.21,17.72,64.13,0.38,105.32,0.00,0.00,39.08,750.00,NA
2025-01-01 15:00:00,9.53,22.55,6.63,1.71,11.27,8.60,27.15,0.37,NA,0.00,NA,NA,NA,0.04,0.22,16.20,69.54,0.30,124.06,0.00,0.00,20.76,750.00,NA
2025-01-01 16:00:00,11.10,26.60,6.61,1.95,11.49,9.53,26.20,0.39,NA,0.00,NA,NA,NA,0.04,0.23,14.67,74.25,0.18,103.19,0.00,0.00,6.19,750.00,NA
2025-01-01 17:00:00,11.28,27.33,6.64,1.72,11.31,10.78,27.32,0.41,NA,0.00,NA,NA,NA,0.04,0.24,12.34,82.95,0.07,90.48,0.00,0.00,0.00,750.00,NA
2025-01-01 18:00:00,12.51,31.63,6.77,1.74,11.51,13.84,27.38,0.48,NA,0.00,NA,NA,NA,0.05,0.29,10.82,90.98,0.14,126.11,0.00,0.00,0.00,750.00,NA
2025-01-01 19:00:00,15.92,40.73,6.66,1.83,11.45,15.75,28.25,0.55,NA,0.00,NA,NA,NA,0.06,0.33,11.74,88.41,0.26,128.35,0.00,0.00,0.00,750.00,NA
2025-01-01 20:00:00,16.29,40.22,6.67,1.98,11.58,16.11,28.66,0.56,NA,0.00,NA,NA,NA,0.06,0.33,11.85,86.54,0.26,137.70,0.00,0.00,0.00,750.00,NA
2025-01-01 21:00:00,17.89,44.04,6.65,1.88,11.45,16.44,28.44,0.55,NA,0.00,NA,NA,NA,0.06,0.32,9.99,90.24,0.08,89.00,0.00,0.00,0.00,750.00,NA
2025-01-01 22:00:00,18.18,43.64,6.69,1.81,11.43,17.03,28.22,0.55,NA,0.00,NA,NA,NA,0.06,0.32,8.96,94.72,0.11,151.02,0.00,0.00,0.00,750.00,NA
2025-01-01 23:00:00,17.56,43.54,6.64,1.98,11.56,16.98,28.58,0.55,NA,0.00,NA,NA,NA,0.06,0.33,8.44,96.44,0.18,172.24,0.00,0.00,0.00,750.00,NA
2025-01-02 00:00:00,17.35,43.91,6.66,1.66,11.27,16.88,28.39,0.54,NA,0.00,NA,NA,NA,0.06,0.32,8.24,97.50,0.15,133.85,0.00,0.00,0.00,750.00,NA
2025-01-02 01:00:00,17.12,44.34,6.60,1.87,11.40,17.94,28.49,0.54,NA,0.00,NA,NA,NA,0.05,0.32,8.22,98.32,0.15,120.69,0.00,0.00,0.00,750.00,NA
2025-01-02 02:00:00,16.40,42.45,6.65,1.96,11.56,17.55,28.22,0.51,NA,0.00,NA,NA,NA,0.05,0.31,7.94,98.69,0.16,163.15,0.00,0.00,0.00,750.00,NA
2025-01-02 03:00:00,15.12,40.13,6.65,1.87,11.46,16.48,27.84,0.49,NA,0.00,NA,NA,NA,0.05,0.29,7.88,99.15,0.12,116.28,0.00,0.00,0.00,750.00,NA
2025-01-02 04:00:00,13.52,37.49,6.71,1.82,11.50,15.81,27.35,0.46,NA,0.00,NA,NA,NA,0.05,0.28,7.70,99.46,0.16,161.58,0.00,0.00,0.00,750.00,NA
