Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,17.14,28.56,2.24,1.21,4.16,1.98,21.62,0.00,1.24,0.00,NA,NA,NA,NA,NA,13.71,82.00,0.42,127.21,0.00,0.00,0.00,1000.14,NA
2025-01-01 01:00:00,17.54,29.23,2.05,1.30,4.18,2.06,21.58,0.00,1.06,0.00,NA,NA,NA,NA,NA,13.70,81.83,0.37,120.61,0.00,0.00,0.00,999.72,NA
2025-01-01 02:00:00,15.45,25.76,1.93,1.38,4.12,2.00,21.73,0.00,0.77,0.00,NA,NA,NA,NA,NA,13.57,81.87,0.43,137.33,0.00,0.00,0.00,999.30,NA
2025-01-01 03:00:00,14.44,24.06,2.00,1.50,4.32,1.97,21.69,0.00,1.41,0.00,NA,NA,NA,NA,NA,13.37,81.94,0.43,130.05,0.00,0.00,0.00,998.94,NA
2025-01-01 04:00:00,12.42,20.70,1.89,1.40,4.08,1.82,21.84,0.00,1.20,0.00,NA,NA,NA,NA,NA,13.24,81.59,0.40,133.37,0.00,0.00,0.00,998.82,NA
2025-01-01 05:00:00,11.70,19.50,2.17,1.25,4.35,1.94,21.75,0.00,1.21,0.00,NA,NA,NA,NA,NA,13.06,81.18,0.41,129.09,0.00,0.00,0.00,999.07,NA
2025-01-01 06:00:00,11.49,19.16,2.02,1.32,4.18,1.86,21.76,0.00,1.60,0.00,NA,NA,NA,NA,NA,12.61,80.03,0.46,119.10,0.00,0.00,0.02,999.74,NA
2025-01-01 07:00:00,10.82,18.03,2.16,1.33,4.40,1.99,21.66,0.00,1.24,0.00,NA,NA,NA,NA,NA,12.54,79.62,0.41,139.28,0.00,0.00,27.93,1000.46,NA
2025-01-01 08:00:00,11.37,18.95,1.91,1.36,4.05,1.96,21.68,0.00,0.98,0.00,NA,NA,NA,NA,NA,12.96,77.79,0.38,120.66,0.00,0.00,94.75,1001.25,NA
2025-01-01 09:00:00,15.12,25.21,2.12,1.41,4.42,1.96,21.62,0.00,1.14,0.00,NA,NA,NA,NA,NA,13.45,75.93,0.36,142.20,0.00,0.00,153.24,1002.05,NA
2025-01-01 10:00:00,18.44,30.74,2.02,1.32,4.22,2.03,21.76,0.00,1.10,0.00,NA,NA,NA,NA,NA,14.76,71.08,0.44,133.64,0.00,0.00,508.44,1001.70,NA
2025-01-01 11:00:00,16.71,27.86,2.02,1.40,4.27,2.02,21.68,0.00,1.46,0.00,NA,NA,NA,NA,NA,18.15,60.08,0.56,123.70,0.00,0.00,945.71,1000.88,NA
2025-01-01 12:00:00,14.59,24.32,2.23,1.30,4.44,2.02,21.67,0.00,2.59,0.00,NA,NA,NA,NA,NA,20.20,54.72,0.60,139.79,0.00,0.00,1000.00,999.75,NA
2025-01-01 13:00:00,14.52,24.21,2.04,1.20,4.08,2.13,21.53,0.00,3.26,0.00,NA,NA,NA,NA,NA,20.10,55.62,0.52,126.01,0.00,0.00,947.27,998.60,NA
